Dpp6
Nrxn1
Tsc2
Cntnap2
Apc
Dpp10
Rps6ka2
Slc4a10
Ube3a
Rapgef4
Dlgap2
Auts2
Rb1cc1
Astn2
Rims3
Ptchd1
Galnt13
Fabp5
Sez6l2
Aldh5a1
Scn1a
Ntng1
Cntn4
Fabp7
Cacna1h
Slc9a9
