1,0,0,0.6498,0,0,0,0,0,0
0.41463,1,0.82344,0,0.72841,0.78944,0.61511,0,0.51026,0.70901
0.2564,0.82344,1,0,0.57179,0.76259,0.58461,0.99999,0,0.59805
0.6498,0.25424,0.10566,1.0001,0,0,0,0,0,0
0.41415,0.72841,0.57179,0.16143,1,0,0.57197,0,0,0.67884
0.25696,0.78944,0.76259,0.12596,0.5649,1,0.51196,0,0,0.54856
0.22046,0.61511,0.58461,0.084427,0.57197,0.51196,1,0,0,0.60905
0.11655,0.20901,0.14481,0.036353,0.27115,0.14343,0.26086,1.0001,0,0
0.23119,0.51026,0.45211,0.13445,0.41194,0.39095,0.31938,0.1447,1,0
0.4128,0.70901,0.59805,0.16264,0.67884,0.54856,0.60905,0.20668,0.43621,1
