A2BP1
ADSL
AGTR2
AHI1
ALDH5A1
ANKRD11
APC
ARX
ASTN2
AUTS2
BZRAP1
C3orf58
CA6
CACNA1C
CACNA1F
CACNA1H
CADM1
CDKL5
CENTG2
CNTN4
CNTNAP2
DHCR7
DLGAP2
DMD
DMPK
DPP10
DPP6
DPYD
EIF4E
FABP5
FABP7
FBXO40
FHIT
FMR1
GALNT13
GRPR
IL1RAPL1
IMMP2L
JMJD1C
KCNMA1
KIAA1586
MBD1
MBD3
MBD4
MCPH1
MDGA2
MECP2
NBEA
NF1
NLGN1
NLGN3
NLGN4X
NRXN1
NTNG1
ODF3L2
OR1C1
PARK2
PCDH10
PCDH9
PLN
PTCHD1
PTEN
RAB39B
RAPGEF4
RB1CC1
REEP3
RFWD2
RIMS3
RPL10
RPS6KA2
SCN1A
SCN2A
SEZ6L2
SHANK3
SLC4A10
SLC6A8
SLC9A9
ST7
SUCLG2
TMEM195
TSC1
TSC2
UBE3A
XPC
